"Nº de controle";"Número do tombo";"Estado";"Tipo de material";"Nº da obra";"Patrimônio";"Data de entrada";"Nº de chamada";"Título";"Autor";"Volume";"Exemplar";"Edição";"Lugar pub.";"Editora";"Data pub."
"559";"18000001";"Congelado";"Livro";"555";"";"09/12/2013";"636.52/.58.084/.085 C846a";"Alimentação de aves";"Cotta, Tadeu";"";"Ex. 01";"";"Viçosa- MG";"Aprenda Fácil";"2003"
"559";"18000002";"Disponível";"Livro";"555";"";"23/02/2015";"636.52/.58.084/.085 C846a";"Alimentação de aves";"Cotta, Tadeu";"";"Ex. 02";"";"Viçosa- MG";"Aprenda Fácil";"2003"
"559";"18000003";"Disponível";"Livro";"555";"";"23/02/2015";"636.52/.58.084/.085 C846a";"Alimentação de aves";"Cotta, Tadeu";"";"Ex. 03";"";"Viçosa- MG";"Aprenda Fácil";"2003"
"559";"18000004";"Disponível";"Livro";"555";"";"23/02/2015";"636.52/.58.084/.085 C846a";"Alimentação de aves";"Cotta, Tadeu";"";"Ex. 04";"";"Viçosa- MG";"Aprenda Fácil";"2003"
"559";"18000005";"Disponível";"Livro";"555";"";"23/02/2015";"636.52/.58.084/.085 C846a";"Alimentação de aves";"Cotta, Tadeu";"";"Ex. 05";"";"Viçosa- MG";"Aprenda Fácil";"2003"
"559";"18000006";"Disponível";"Livro";"555";"";"23/02/2015";"636.52/.58.084/.085 C846a";"Alimentação de aves";"Cotta, Tadeu";"";"Ex. 06";"";"Viçosa- MG";"Aprenda Fácil";"2003"
"559";"18000007";"Disponível";"Livro";"555";"";"23/02/2015";"636.52/.58.084/.085 C846a";"Alimentação de aves";"Cotta, Tadeu";"";"Ex. 07";"";"Viçosa- MG";"Aprenda Fácil";"2003"
"559";"18000008";"Disponível";"Livro";"555";"";"23/02/2015";"636.52/.58.084/.085 C846a";"Alimentação de aves";"Cotta, Tadeu";"";"Ex. 08";"";"Viçosa- MG";"Aprenda Fácil";"2003"
"7490";"18000009";"Congelado";"Livro";"7373";"";"23/02/2015";"658.012.2 M667s";"Safári de estratégia";"Mintzberg, Henry / Ahlstrand, Bruce / Lampel, Joseph";"";"Ex. 01";"2. ";"Porto Alegre - RS";"Bookman";"2010"
"7490";"18000010";"Disponível";"Livro";"7373";"";"23/02/2015";"658.012.2 M667s";"Safári de estratégia";"Mintzberg, Henry / Ahlstrand, Bruce / Lampel, Joseph";"";"Ex. 02";"2. ";"Porto Alegre - RS";"Bookman";"2010"
"7490";"18000011";"Disponível";"Livro";"7373";"";"23/02/2015";"658.012.2 M667s";"Safári de estratégia";"Mintzberg, Henry / Ahlstrand, Bruce / Lampel, Joseph";"";"Ex. 03";"2. ";"Porto Alegre - RS";"Bookman";"2010"
"7490";"18000012";"Disponível";"Livro";"7373";"";"23/02/2015";"658.012.2 M667s";"Safári de estratégia";"Mintzberg, Henry / Ahlstrand, Bruce / Lampel, Joseph";"";"Ex. 04";"2. ";"Porto Alegre - RS";"Bookman";"2010"
"7490";"18000013";"Disponível";"Livro";"7373";"";"23/02/2015";"658.012.2 M667s";"Safári de estratégia";"Mintzberg, Henry / Ahlstrand, Bruce / Lampel, Joseph";"";"Ex. 05";"2. ";"Porto Alegre - RS";"Bookman";"2010"
"7490";"18000014";"Disponível";"Livro";"7373";"";"23/02/2015";"658.012.2 M667s";"Safári de estratégia";"Mintzberg, Henry / Ahlstrand, Bruce / Lampel, Joseph";"";"Ex. 06";"2. ";"Porto Alegre - RS";"Bookman";"2010"
"7490";"18000015";"Disponível";"Livro";"7373";"";"23/02/2015";"658.012.2 M667s";"Safári de estratégia";"Mintzberg, Henry / Ahlstrand, Bruce / Lampel, Joseph";"";"Ex. 07";"2. ";"Porto Alegre - RS";"Bookman";"2010"
"7490";"18000016";"Disponível";"Livro";"7373";"";"23/02/2015";"658.012.2 M667s";"Safári de estratégia";"Mintzberg, Henry / Ahlstrand, Bruce / Lampel, Joseph";"";"Ex. 08";"2. ";"Porto Alegre - RS";"Bookman";"2010"
"7490";"18000017";"Disponível";"Livro";"7373";"";"23/02/2015";"658.012.2 M667s";"Safári de estratégia";"Mintzberg, Henry / Ahlstrand, Bruce / Lampel, Joseph";"";"Ex. 09";"2. ";"Porto Alegre - RS";"Bookman";"2010"
"7490";"18000018";"Disponível";"Livro";"7373";"";"23/02/2015";"658.012.2 M667s";"Safári de estratégia";"Mintzberg, Henry / Ahlstrand, Bruce / Lampel, Joseph";"";"Ex. 10";"2. ";"Porto Alegre - RS";"Bookman";"2010"
"12404";"18000019";"Congelado";"Livro";"12268";"";"23/02/2015";"658 C532i";"Introdução à teoria geral da administração";"Chiavenato, Idalberto";"";"Ex. 01";"3. ";"Rio de Janeiro";"Elsevier";"2004"
"12404";"18000020";"Disponível";"Livro";"12268";"";"23/02/2015";"658 C532i";"Introdução à teoria geral da administração";"Chiavenato, Idalberto";"";"Ex. 02";"3. ";"Rio de Janeiro";"Elsevier";"2004"
"12404";"18000021";"Disponível";"Livro";"12268";"";"23/02/2015";"658 C532i";"Introdução à teoria geral da administração";"Chiavenato, Idalberto";"";"Ex. 03";"3. ";"Rio de Janeiro";"Elsevier";"2004"
"12404";"18000022";"Disponível";"Livro";"12268";"";"23/02/2015";"658 C532i";"Introdução à teoria geral da administração";"Chiavenato, Idalberto";"";"Ex. 04";"3. ";"Rio de Janeiro";"Elsevier";"2004"
"12404";"18000023";"Disponível";"Livro";"12268";"";"23/02/2015";"658 C532i";"Introdução à teoria geral da administração";"Chiavenato, Idalberto";"";"Ex. 05";"3. ";"Rio de Janeiro";"Elsevier";"2004"
"12404";"18000024";"Disponível";"Livro";"12268";"";"23/02/2015";"658 C532i";"Introdução à teoria geral da administração";"Chiavenato, Idalberto";"";"Ex. 06";"3. ";"Rio de Janeiro";"Elsevier";"2004"
"12404";"18000025";"Disponível";"Livro";"12268";"";"23/02/2015";"658 C532i";"Introdução à teoria geral da administração";"Chiavenato, Idalberto";"";"Ex. 07";"3. ";"Rio de Janeiro";"Elsevier";"2004"
"12404";"18000026";"Disponível";"Livro";"12268";"";"23/02/2015";"658 C532i";"Introdução à teoria geral da administração";"Chiavenato, Idalberto";"";"Ex. 08";"3. ";"Rio de Janeiro";"Elsevier";"2004"
"12404";"18000027";"Disponível";"Livro";"12268";"";"23/02/2015";"658 C532i";"Introdução à teoria geral da administração";"Chiavenato, Idalberto";"";"Ex. 09";"3. ";"Rio de Janeiro";"Elsevier";"2004"
"12404";"18000028";"Disponível";"Livro";"12268";"";"23/02/2015";"658 C532i";"Introdução à teoria geral da administração";"Chiavenato, Idalberto";"";"Ex. 10";"3. ";"Rio de Janeiro";"Elsevier";"2004"
"12404";"18000029";"Emprestado";"Livro";"12268";"";"23/02/2015";"658 C532i";"Introdução à teoria geral da administração";"Chiavenato, Idalberto";"";"Ex. 11 ";"3. ";"Rio de Janeiro";"Elsevier";"2004"
"12404";"18000030";"Disponível";"Livro";"12268";"";"23/02/2015";"658 C532i";"Introdução à teoria geral da administração";"Chiavenato, Idalberto";"";"Ex. 12";"3. ";"Rio de Janeiro";"Elsevier";"2004"
"115";"18000031";"Congelado";"Livro";"115";"";"24/02/2015";"543 V878q";"Química analítica qualitativa";"Vogel, Arthur Israel";"";"Ex. 01";"5. ";"São Paulo - SP";"Mestre Jou";"1981"
"115";"18000032";"Disponível";"Livro";"115";"";"24/02/2015";"543 V878q";"Química analítica qualitativa";"Vogel, Arthur Israel";"";"Ex. 02";"5. ";"São Paulo - SP";"Mestre Jou";"1981"
"115";"18000033";"Disponível";"Livro";"115";"";"24/02/2015";"543 V878q";"Química analítica qualitativa";"Vogel, Arthur Israel";"";"Ex. 03";"5. ";"São Paulo - SP";"Mestre Jou";"1981"
"115";"18000034";"Emprestado";"Livro";"115";"";"24/02/2015";"543 V878q";"Química analítica qualitativa";"Vogel, Arthur Israel";"";"Ex. 04";"5. ";"São Paulo - SP";"Mestre Jou";"1981"
"115";"18000035";"Disponível";"Livro";"115";"";"24/02/2015";"543 V878q";"Química analítica qualitativa";"Vogel, Arthur Israel";"";"Ex. 05";"5. ";"São Paulo - SP";"Mestre Jou";"1981"
"115";"18000036";"Disponível";"Livro";"115";"";"24/02/2015";"543 V878q";"Química analítica qualitativa";"Vogel, Arthur Israel";"";"Ex. 06";"5. ";"São Paulo - SP";"Mestre Jou";"1981"
"115";"18000037";"Disponível";"Livro";"115";"";"24/02/2015";"543 V878q";"Química analítica qualitativa";"Vogel, Arthur Israel";"";"Ex. 07";"5. ";"São Paulo - SP";"Mestre Jou";"1981"
"115";"18000038";"Disponível";"Livro";"115";"";"24/02/2015";"543 V878q";"Química analítica qualitativa";"Vogel, Arthur Israel";"";"Ex. 08";"5. ";"São Paulo - SP";"Mestre Jou";"1981"
"115";"18000039";"Disponível";"Livro";"115";"";"24/02/2015";"543 V878q";"Química analítica qualitativa";"Vogel, Arthur Israel";"";"Ex. 09";"5. ";"São Paulo - SP";"Mestre Jou";"1981"
"115";"18000040";"Disponível";"Livro";"115";"";"24/02/2015";"543 V878q";"Química analítica qualitativa";"Vogel, Arthur Israel";"";"Ex. 10";"5. ";"São Paulo - SP";"Mestre Jou";"1981"
"432";"18000041";"Congelado";"Livro";"428";"";"24/02/2015";"54 M214q";"Química";"Mahan, Bruce M. / Myers, Rollie J.";"";"Ex. 01";"4. ";"São Paulo";"Blucher";"1995"
"432";"18000042";"Disponível";"Livro";"428";"";"24/02/2015";"54 M214q";"Química";"Mahan, Bruce M. / Myers, Rollie J.";"";"Ex. 02";"4. ";"São Paulo";"Blucher";"1995"
"432";"18000043";"Disponível";"Livro";"428";"";"24/02/2015";"54 M214q";"Química";"Mahan, Bruce M. / Myers, Rollie J.";"";"Ex. 03";"4. ";"São Paulo";"Blucher";"1995"
"432";"18000044";"Disponível";"Livro";"428";"";"24/02/2015";"54 M214q";"Química";"Mahan, Bruce M. / Myers, Rollie J.";"";"Ex. 04";"4. ";"São Paulo";"Blucher";"1995"
"432";"18000045";"Disponível";"Livro";"428";"";"24/02/2015";"54 M214q";"Química";"Mahan, Bruce M. / Myers, Rollie J.";"";"Ex. 05";"4. ";"São Paulo";"Blucher";"1995"
"432";"18000046";"Disponível";"Livro";"428";"";"24/02/2015";"54 M214q";"Química";"Mahan, Bruce M. / Myers, Rollie J.";"";"Ex. 06";"4. ";"São Paulo";"Blucher";"1995"
"432";"18000047";"Disponível";"Livro";"428";"";"24/02/2015";"54 M214q";"Química";"Mahan, Bruce M. / Myers, Rollie J.";"";"Ex. 07";"4. ";"São Paulo";"Blucher";"1995"
"432";"18000048";"Disponível";"Livro";"428";"";"24/02/2015";"54 M214q";"Química";"Mahan, Bruce M. / Myers, Rollie J.";"";"Ex. 08";"4. ";"São Paulo";"Blucher";"1995"
"432";"18000049";"Disponível";"Livro";"428";"";"24/02/2015";"54 M214q";"Química";"Mahan, Bruce M. / Myers, Rollie J.";"";"Ex. 09";"4. ";"São Paulo";"Blucher";"1995"
"432";"18000050";"Disponível";"Livro";"428";"";"24/02/2015";"54 M214q";"Química";"Mahan, Bruce M. / Myers, Rollie J.";"";"Ex. 10";"4. ";"São Paulo";"Blucher";"1995"
"4249";"18000051";"Congelado";"Livro";"4141";"";"24/02/2015";"543 H313a";"Análise química quantitativa";"Harris, Daniel C.";"";"Ex. 01";"8";"Rio de Janeiro - RJ";"Ltc";"2012"
"4249";"18000052";"Disponível";"Livro";"4141";"";"24/02/2015";"543 H313a";"Análise química quantitativa";"Harris, Daniel C.";"";"Ex. 02";"8";"Rio de Janeiro - RJ";"Ltc";"2012"
"4249";"18000053";"Disponível";"Livro";"4141";"";"24/02/2015";"543 H313a";"Análise química quantitativa";"Harris, Daniel C.";"";"Ex. 03";"8";"Rio de Janeiro - RJ";"Ltc";"2012"
"4249";"18000054";"Disponível";"Livro";"4141";"";"24/02/2015";"543 H313a";"Análise química quantitativa";"Harris, Daniel C.";"";"Ex. 04";"8";"Rio de Janeiro - RJ";"Ltc";"2012"
"4249";"18000055";"Disponível";"Livro";"4141";"";"24/02/2015";"543 H313a";"Análise química quantitativa";"Harris, Daniel C.";"";"Ex. 05";"8";"Rio de Janeiro - RJ";"Ltc";"2012"
"4249";"18000056";"Disponível";"Livro";"4141";"";"24/02/2015";"543 H313a";"Análise química quantitativa";"Harris, Daniel C.";"";"Ex. 06";"8";"Rio de Janeiro - RJ";"Ltc";"2012"
"4249";"18000057";"Disponível";"Livro";"4141";"";"24/02/2015";"543 H313a";"Análise química quantitativa";"Harris, Daniel C.";"";"Ex. 07";"8";"Rio de Janeiro - RJ";"Ltc";"2012"
"4249";"18000058";"Disponível";"Livro";"4141";"";"24/02/2015";"543 H313a";"Análise química quantitativa";"Harris, Daniel C.";"";"Ex. 08";"8";"Rio de Janeiro - RJ";"Ltc";"2012"
"4249";"18000059";"Disponível";"Livro";"4141";"";"24/02/2015";"543 H313a";"Análise química quantitativa";"Harris, Daniel C.";"";"Ex. 09";"8";"Rio de Janeiro - RJ";"Ltc";"2012"
"4249";"18000060";"Disponível";"Livro";"4141";"";"24/02/2015";"543 H313a";"Análise química quantitativa";"Harris, Daniel C.";"";"Ex. 10";"8";"Rio de Janeiro - RJ";"Ltc";"2012"
"436";"18000061";"Congelado";"Livro";"432";"";"24/02/2015";"542.06 B277c";"Como fazer experimentos ";"Barros Neto, Benício de / Bruns, Roy Edward / Scarminio, Ieda Spacino";"";"Ex. 01";"4. ";"São paulo - SP";"Bookman";"2010"
"436";"18000062";"Disponível";"Livro";"432";"";"24/02/2015";"542.06 B277c";"Como fazer experimentos ";"Barros Neto, Benício de / Bruns, Roy Edward / Scarminio, Ieda Spacino";"";"Ex. 02";"4. ";"São paulo - SP";"Bookman";"2010"
"436";"18000063";"Disponível";"Livro";"432";"";"24/02/2015";"542.06 B277c";"Como fazer experimentos ";"Barros Neto, Benício de / Bruns, Roy Edward / Scarminio, Ieda Spacino";"";"Ex. 03";"4. ";"São paulo - SP";"Bookman";"2010"
"436";"18000064";"Disponível";"Livro";"432";"";"24/02/2015";"542.06 B277c";"Como fazer experimentos ";"Barros Neto, Benício de / Bruns, Roy Edward / Scarminio, Ieda Spacino";"";"Ex. 04";"4. ";"São paulo - SP";"Bookman";"2010"
"436";"18000065";"Disponível";"Livro";"432";"";"24/02/2015";"542.06 B277c";"Como fazer experimentos ";"Barros Neto, Benício de / Bruns, Roy Edward / Scarminio, Ieda Spacino";"";"Ex. 05";"4. ";"São paulo - SP";"Bookman";"2010"
"436";"18000066";"Disponível";"Livro";"432";"";"24/02/2015";"542.06 B277c";"Como fazer experimentos ";"Barros Neto, Benício de / Bruns, Roy Edward / Scarminio, Ieda Spacino";"";"Ex. 06";"4. ";"São paulo - SP";"Bookman";"2010"
"436";"18000067";"Disponível";"Livro";"432";"";"24/02/2015";"542.06 B277c";"Como fazer experimentos ";"Barros Neto, Benício de / Bruns, Roy Edward / Scarminio, Ieda Spacino";"";"Ex. 07";"4. ";"São paulo - SP";"Bookman";"2010"
"436";"18000068";"Disponível";"Livro";"432";"";"24/02/2015";"542.06 B277c";"Como fazer experimentos ";"Barros Neto, Benício de / Bruns, Roy Edward / Scarminio, Ieda Spacino";"";"Ex. 08";"4. ";"São paulo - SP";"Bookman";"2010"
"436";"18000069";"Disponível";"Livro";"432";"";"24/02/2015";"542.06 B277c";"Como fazer experimentos ";"Barros Neto, Benício de / Bruns, Roy Edward / Scarminio, Ieda Spacino";"";"Ex. 09";"4. ";"São paulo - SP";"Bookman";"2010"
"436";"18000070";"Disponível";"Livro";"432";"";"24/02/2015";"542.06 B277c";"Como fazer experimentos ";"Barros Neto, Benício de / Bruns, Roy Edward / Scarminio, Ieda Spacino";"";"Ex. 10";"4. ";"São paulo - SP";"Bookman";"2010"
"12412";"18000071";"Congelado";"Livro";"12276";"";"24/02/2015";"658.012.2 O48p";"Planejamento estratégico";"Oliveira, Djalma de Pinho Rebouças de";"";"Ex. 01";"32. ";"São Paulo - SP";"Atlas";"2014"
"12412";"18000072";"Disponível";"Livro";"12276";"";"24/02/2015";"658.012.2 O48p";"Planejamento estratégico";"Oliveira, Djalma de Pinho Rebouças de";"";"Ex. 02";"32. ";"São Paulo - SP";"Atlas";"2014"
"12412";"18000073";"Disponível";"Livro";"12276";"";"24/02/2015";"658.012.2 O48p";"Planejamento estratégico";"Oliveira, Djalma de Pinho Rebouças de";"";"Ex. 03";"32. ";"São Paulo - SP";"Atlas";"2014"
"12412";"18000074";"Disponível";"Livro";"12276";"";"24/02/2015";"658.012.2 O48p";"Planejamento estratégico";"Oliveira, Djalma de Pinho Rebouças de";"";"Ex. 04";"32. ";"São Paulo - SP";"Atlas";"2014"
"12412";"18000075";"Disponível";"Livro";"12276";"";"24/02/2015";"658.012.2 O48p";"Planejamento estratégico";"Oliveira, Djalma de Pinho Rebouças de";"";"Ex. 05";"32. ";"São Paulo - SP";"Atlas";"2014"
"12412";"18000076";"Disponível";"Livro";"12276";"";"24/02/2015";"658.012.2 O48p";"Planejamento estratégico";"Oliveira, Djalma de Pinho Rebouças de";"";"Ex. 06";"32. ";"São Paulo - SP";"Atlas";"2014"
"12412";"18000077";"Disponível";"Livro";"12276";"";"24/02/2015";"658.012.2 O48p";"Planejamento estratégico";"Oliveira, Djalma de Pinho Rebouças de";"";"Ex. 07";"32. ";"São Paulo - SP";"Atlas";"2014"
"12412";"18000078";"Disponível";"Livro";"12276";"";"24/02/2015";"658.012.2 O48p";"Planejamento estratégico";"Oliveira, Djalma de Pinho Rebouças de";"";"Ex. 08";"32. ";"São Paulo - SP";"Atlas";"2014"
"12412";"18000079";"Disponível";"Livro";"12276";"";"24/02/2015";"658.012.2 O48p";"Planejamento estratégico";"Oliveira, Djalma de Pinho Rebouças de";"";"Ex. 09";"32. ";"São Paulo - SP";"Atlas";"2014"
"12412";"18000080";"Disponível";"Livro";"12276";"";"24/02/2015";"658.012.2 O48p";"Planejamento estratégico";"Oliveira, Djalma de Pinho Rebouças de";"";"Ex. 10";"32. ";"São Paulo - SP";"Atlas";"2014"
"12413";"18000081";"Congelado";"Livro";"12277";"";"24/02/2015";"658 O48i";"Introdução à administração";"Oliveira, Djalma de Pinho Rebouças de";"";"Ex. 01";"";"São Paulo";"Atlas";"2009"
"12413";"18000082";"Disponível";"Livro";"12277";"";"24/02/2015";"658 O48i";"Introdução à administração";"Oliveira, Djalma de Pinho Rebouças de";"";"Ex. 02";"";"São Paulo";"Atlas";"2009"
"12413";"18000083";"Disponível";"Livro";"12277";"";"24/02/2015";"658 O48i";"Introdução à administração";"Oliveira, Djalma de Pinho Rebouças de";"";"Ex. 03";"";"São Paulo";"Atlas";"2009"
"12413";"18000084";"Disponível";"Livro";"12277";"";"24/02/2015";"658 O48i";"Introdução à administração";"Oliveira, Djalma de Pinho Rebouças de";"";"Ex. 04";"";"São Paulo";"Atlas";"2009"
"12413";"18000085";"Disponível";"Livro";"12277";"";"24/02/2015";"658 O48i";"Introdução à administração";"Oliveira, Djalma de Pinho Rebouças de";"";"Ex. 05";"";"São Paulo";"Atlas";"2009"
"12413";"18000086";"Disponível";"Livro";"12277";"";"24/02/2015";"658 O48i";"Introdução à administração";"Oliveira, Djalma de Pinho Rebouças de";"";"Ex. 06";"";"São Paulo";"Atlas";"2009"
"12413";"18000087";"Disponível";"Livro";"12277";"";"24/02/2015";"658 O48i";"Introdução à administração";"Oliveira, Djalma de Pinho Rebouças de";"";"Ex. 07";"";"São Paulo";"Atlas";"2009"
"12413";"18000088";"Disponível";"Livro";"12277";"";"24/02/2015";"658 O48i";"Introdução à administração";"Oliveira, Djalma de Pinho Rebouças de";"";"Ex. 08";"";"São Paulo";"Atlas";"2009"
"12413";"18000089";"Disponível";"Livro";"12277";"";"24/02/2015";"658 O48i";"Introdução à administração";"Oliveira, Djalma de Pinho Rebouças de";"";"Ex. 09";"";"São Paulo";"Atlas";"2009"
"12413";"18000090";"Disponível";"Livro";"12277";"";"24/02/2015";"658 O48i";"Introdução à administração";"Oliveira, Djalma de Pinho Rebouças de";"";"Ex. 10";"";"São Paulo";"Atlas";"2009"
"558";"18000091";"Congelado";"Livro";"554";"";"24/02/2015";"528.8 N935s";"Sensoriamento remoto";"Novo, Evlyn M. L. de Moraes";"";"Ex. 01";"4. ";"São Paulo - SP";"Blucher";"2010"
"558";"18000092";"Disponível";"Livro";"554";"";"24/02/2015";"528.8 N935s";"Sensoriamento remoto";"Novo, Evlyn M. L. de Moraes";"";"Ex. 02";"4. ";"São Paulo - SP";"Blucher";"2010"
"558";"18000093";"Disponível";"Livro";"554";"";"24/02/2015";"528.8 N935s";"Sensoriamento remoto";"Novo, Evlyn M. L. de Moraes";"";"Ex. 03";"4. ";"São Paulo - SP";"Blucher";"2010"
"558";"18000094";"Disponível";"Livro";"554";"";"24/02/2015";"528.8 N935s";"Sensoriamento remoto";"Novo, Evlyn M. L. de Moraes";"";"Ex. 04";"4. ";"São Paulo - SP";"Blucher";"2010"
"558";"18000095";"Disponível";"Livro";"554";"";"24/02/2015";"528.8 N935s";"Sensoriamento remoto";"Novo, Evlyn M. L. de Moraes";"";"Ex. 05";"4. ";"São Paulo - SP";"Blucher";"2010"
"558";"18000096";"Disponível";"Livro";"554";"";"24/02/2015";"528.8 N935s";"Sensoriamento remoto";"Novo, Evlyn M. L. de Moraes";"";"Ex. 06";"4. ";"São Paulo - SP";"Blucher";"2010"
"558";"18000097";"Disponível";"Livro";"554";"";"24/02/2015";"528.8 N935s";"Sensoriamento remoto";"Novo, Evlyn M. L. de Moraes";"";"Ex. 07";"4. ";"São Paulo - SP";"Blucher";"2010"
"558";"18000098";"Disponível";"Livro";"554";"";"24/02/2015";"528.8 N935s";"Sensoriamento remoto";"Novo, Evlyn M. L. de Moraes";"";"Ex. 08";"4. ";"São Paulo - SP";"Blucher";"2010"
"558";"18000099";"Disponível";"Livro";"554";"";"24/02/2015";"528.8 N935s";"Sensoriamento remoto";"Novo, Evlyn M. L. de Moraes";"";"Ex. 09";"4. ";"São Paulo - SP";"Blucher";"2010"
"558";"18000100";"Disponível";"Livro";"554";"";"24/02/2015";"528.8 N935s";"Sensoriamento remoto";"Novo, Evlyn M. L. de Moraes";"";"Ex. 10";"4. ";"São Paulo - SP";"Blucher";"2010"
"12414";"18000101";"Congelado";"Livro";"12278";"";"24/02/2015";" 519.2  M845e";"Estatística básica";"Morettin, Luiz Gonzaga";"";"Ex. 01";"";"São Paulo";"Pearson";"2010"
"12414";"18000102";"Disponível";"Livro";"12278";"";"24/02/2015";" 519.2  M845e";"Estatística básica";"Morettin, Luiz Gonzaga";"";"Ex. 02";"";"São Paulo";"Pearson";"2010"
"12414";"18000103";"Disponível";"Livro";"12278";"";"24/02/2015";" 519.2  M845e";"Estatística básica";"Morettin, Luiz Gonzaga";"";"Ex. 03";"";"São Paulo";"Pearson";"2010"
"12414";"18000104";"Disponível";"Livro";"12278";"";"24/02/2015";" 519.2  M845e";"Estatística básica";"Morettin, Luiz Gonzaga";"";"Ex. 04";"";"São Paulo";"Pearson";"2010"
"12414";"18000105";"Disponível";"Livro";"12278";"";"24/02/2015";" 519.2  M845e";"Estatística básica";"Morettin, Luiz Gonzaga";"";"Ex. 05";"";"São Paulo";"Pearson";"2010"
"12414";"18000106";"Disponível";"Livro";"12278";"";"24/02/2015";" 519.2  M845e";"Estatística básica";"Morettin, Luiz Gonzaga";"";"Ex. 06";"";"São Paulo";"Pearson";"2010"
"12414";"18000107";"Disponível";"Livro";"12278";"";"24/02/2015";" 519.2  M845e";"Estatística básica";"Morettin, Luiz Gonzaga";"";"Ex. 07";"";"São Paulo";"Pearson";"2010"
"12414";"18000108";"Disponível";"Livro";"12278";"";"24/02/2015";" 519.2  M845e";"Estatística básica";"Morettin, Luiz Gonzaga";"";"Ex. 08";"";"São Paulo";"Pearson";"2010"
"12414";"18000109";"Disponível";"Livro";"12278";"";"24/02/2015";" 519.2  M845e";"Estatística básica";"Morettin, Luiz Gonzaga";"";"Ex. 09";"";"São Paulo";"Pearson";"2010"
"12414";"18000110";"Disponível";"Livro";"12278";"";"24/02/2015";" 519.2  M845e";"Estatística básica";"Morettin, Luiz Gonzaga";"";"Ex. 10";"";"São Paulo";"Pearson";"2010"
"12414";"18000111";"Disponível";"Livro";"12278";"";"24/02/2015";" 519.2  M845e";"Estatística básica";"Morettin, Luiz Gonzaga";"";"Ex. 11";"";"São Paulo";"Pearson";"2010"
"12414";"18000112";"Disponível";"Livro";"12278";"";"24/02/2015";" 519.2  M845e";"Estatística básica";"Morettin, Luiz Gonzaga";"";"Ex. 12";"";"São Paulo";"Pearson";"2010"
"10429";"18000113";"Congelado";"Livro";"10298";"";"24/02/2015";"579 B238m";"Microbiologia básica";"Barbosa, Heloiza Ramos / Furlaneto, Márcia Cristina / Torres, Bayardo B. ";"";"Ex. 01";"";"São Paulo - SP";"Atheneu";"2010"
"10429";"18000114";"Disponível";"Livro";"10298";"";"24/02/2015";"579 B238m";"Microbiologia básica";"Barbosa, Heloiza Ramos / Furlaneto, Márcia Cristina / Torres, Bayardo B. ";"";"Ex. 02";"";"São Paulo - SP";"Atheneu";"2010"
"10429";"18000115";"Disponível";"Livro";"10298";"";"24/02/2015";"579 B238m";"Microbiologia básica";"Barbosa, Heloiza Ramos / Furlaneto, Márcia Cristina / Torres, Bayardo B. ";"";"Ex. 03";"";"São Paulo - SP";"Atheneu";"2010"
"10429";"18000116";"Disponível";"Livro";"10298";"";"24/02/2015";"579 B238m";"Microbiologia básica";"Barbosa, Heloiza Ramos / Furlaneto, Márcia Cristina / Torres, Bayardo B. ";"";"Ex. 04";"";"São Paulo - SP";"Atheneu";"2010"
"10429";"18000117";"Disponível";"Livro";"10298";"";"24/02/2015";"579 B238m";"Microbiologia básica";"Barbosa, Heloiza Ramos / Furlaneto, Márcia Cristina / Torres, Bayardo B. ";"";"Ex. 05";"";"São Paulo - SP";"Atheneu";"2010"
"10429";"18000118";"Disponível";"Livro";"10298";"";"24/02/2015";"579 B238m";"Microbiologia básica";"Barbosa, Heloiza Ramos / Furlaneto, Márcia Cristina / Torres, Bayardo B. ";"";"Ex. 06";"";"São Paulo - SP";"Atheneu";"2010"
"10429";"18000119";"Disponível";"Livro";"10298";"";"24/02/2015";"579 B238m";"Microbiologia básica";"Barbosa, Heloiza Ramos / Furlaneto, Márcia Cristina / Torres, Bayardo B. ";"";"Ex. 07";"";"São Paulo - SP";"Atheneu";"2010"
"10429";"18000120";"Disponível";"Livro";"10298";"";"24/02/2015";"579 B238m";"Microbiologia básica";"Barbosa, Heloiza Ramos / Furlaneto, Márcia Cristina / Torres, Bayardo B. ";"";"Ex. 08";"";"São Paulo - SP";"Atheneu";"2010"
"10429";"18000121";"Disponível";"Livro";"10298";"";"24/02/2015";"579 B238m";"Microbiologia básica";"Barbosa, Heloiza Ramos / Furlaneto, Márcia Cristina / Torres, Bayardo B. ";"";"Ex. 09";"";"São Paulo - SP";"Atheneu";"2010"
"10429";"18000122";"Disponível";"Livro";"10298";"";"24/02/2015";"579 B238m";"Microbiologia básica";"Barbosa, Heloiza Ramos / Furlaneto, Márcia Cristina / Torres, Bayardo B. ";"";"Ex. 10";"";"São Paulo - SP";"Atheneu";"2010"
"12417";"18000123";"Congelado";"Livro";"12281";"";"24/02/2015";"51-7:336 C349m";"Matemática financeira aplicada";"Castelo Branco, Anísio Costa";"";"Ex. 01";"3. ed. revista e ampliada";"São Paulo";"Cengage Learning";"2010"
"12417";"18000124";"Disponível";"Livro";"12281";"";"24/02/2015";"51-7:336 C349m";"Matemática financeira aplicada";"Castelo Branco, Anísio Costa";"";"Ex. 02";"3. ed. revista e ampliada";"São Paulo";"Cengage Learning";"2010"
